"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!25!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!10!0x4258c9ff","Intervention: Testing!10!0x6079f7ff","Health & Environment: Pop Demographics!10!0x6b0b9eff","Health & Environment: Air Pollution!10!0x8e26c4ff","Health & Environment: Age Distribution!10!0x9a42c8ff","Health & Environment: Co-morbidities!10!0xb460e0ff","Health & Environment: Health Disparities!10!0xc885ecff","Health & Environment: Hospital Beds!5!0xdeb9f1ff"
"0.6794600983152761","7","3","Virginia, Petersburg City","-77.3937,37.2053","0.7744849691503314","0.37098189054003006","0.7585121005887018","0.8898","1.0","0.6987323408548796","0.6958177327180848","0.3712574850299401","0.5449798764246452","0.6525530991509025","0.6164492297915359","0.2868919924728384"
"0.6738160623181927","7","10","Texas, Limestone","-96.581,31.5455","0.898355855078461","0.7784746822613897","0.508824890143487","0.9099","0.675","0.7043028840730388","0.6368677729418177","0.4131736526946108","0.5837920978957992","0.4596295321998785","0.6884802561471474","0.41520542810956385"
"0.6737287883452309","7","10","Texas, Caldwell","-97.6181,29.8367","0.9278437937400528","0.8587900399610613","0.555417448095714","0.9631","0.75","0.7043028840730388","0.5598530866470884","0.4251497005988024","0.46968620728685795","0.3784271031366023","0.5505155741864441","0.6323066919203503"
"0.6672109650337905","7","10","Texas, Washington","-96.4095,30.215","0.9280602984430988","1.0","0.5512007986198245","0.8892","0.825","0.7043028840730388","0.5636485233778057","0.4131736526946108","0.6335581539925471","0.32816519308679964","0.36245081517297484","0.49857259159406986"
"0.6651021921550696","7","10","Texas, Grimes","-95.989,30.5458","0.9170374103357595","0.7966095236567252","0.5226437658312084","0.9147","0.675","0.7043028840730388","0.6069848195886851","0.43113772455089816","0.5472454870957077","0.419259411923144","0.5114805248742396","0.5802489926673734"
"0.658563809541665","7","10","Texas, Falls","-96.9363,31.2535","0.8905233773439958","0.6512587877130102","0.49636447172271764","0.9987","0.5","0.7043028840730388","0.6619556681929663","0.4191616766467066","0.5627304600978258","0.4451703337774771","0.6544593580686725","0.4745298589498279"
"0.6572487714349966","7","10","Texas, Madison","-95.93,30.9669","0.9173541223471721","0.7093448198323027","0.5252743416748684","0.9621","0.75","0.7043028840730388","0.6490174797719047","0.407185628742515","0.5016507991249867","0.34384025851689926","0.4757705366941364","0.49681999711005526"
"0.6540832396809863","7","3","Alabama, Russell","-85.1842,32.2873","0.6679274565528174","0.22033168529983854","0.6080550132713158","0.7768","1.0","0.8790753008632671","0.6666124394005838","0.5449101796407185","0.46968620728685795","0.6053300512514289","0.5750751345773475","0.541023371377693"
"0.6527515117048683","7","10","Texas, Freestone","-96.1507,31.7042","0.9019524281623212","0.8825981887356454","0.487489623485426","0.7294","0.675","0.7043028840730388","0.6452023937934042","0.4191616766467066","0.6037268925796017","0.4323546942021662","0.5227742898395743","0.4876025538346201"
"0.6517360526363576","7","3","Virginia, Danville City","-79.404,36.5802","0.7421803987560892","0.27450151303576603","0.702972127357475","0.8841","1.0","0.6987323408548796","0.6539689534213116","0.4191616766467066","0.6207997313712245","0.440853882118605","0.5630521567848532","0.3407160719826151"
